drug_id,drug_name,drug_synonyms_value,drug_synonyms_type,therapy_areas,drug_primary_action_value,drug_primary_action_id,drug_secondary_action_value,drug_secondary_action_id,drug_primary_indication_value,drug_primary_indication_id,drug_secondary_indication_value,drug_secondary_indication_id,drug_primary_company_value,drug_primary_company_id,drug_secondary_company_value,drug_secondary_company_id,drug_company_originator_value,drug_company_originator_id,drug_brand_names,drug_generic_names,molecular_mechanism_value,molecular_mechanism_id,cellular_mechanism_value,cellular_mechanism_id
55529,samalizumab,"anti-CD200 mAb (CLL, multiple myeloma), Alexion|samalizumab|ALXN-6000|CD200 checkpoint inhibitor (cancer), Alexion Pharmaceuticals",USAN|INN|Research Code,Cancer,Membrane glycoprotein OX2 inhibitor,32580,Anticancer monoclonal antibody|Immunostimulant|T-lymphocyte stimulator,55685|393|7761,,,Acute myelogenous leukemia|Chronic lymphocytic leukemia|Multiple myeloma|Cancer|Solid tumor,1731|1734|1828|651|725,,,Alexion Pharmaceuticals Inc,13979,Alexion Pharmaceuticals Inc,13979,,,,,,
55541,18F-ML-10,18F-ML-10|ApoSense-PET|fluorine-18-ML-10|ApoSense [18F]-ML-10|18F-NST-ML-10|fluorine-18-NST-ML-10|ML-10-[18F]|Aposense ML-10|F-ML-10,Research Code|Trade Name|Trade Name|Research Code|Research Code|Research Code,Cancer|Cardiovascular|Neurology/Psychiatric,,,Immune diagnostic agent|PET contrast agent|Neoplasm diagnostic agent|Radiodiagnostic|CNS diagnostic agent|Cardiovascular diagnostic agent|Endocrine diagnostic agent,7215|5555|7220|5720|7211|7210|7212,,,Small-cell lung cancer|Non-Hodgkin lymphoma|Breast tumor|Head and neck tumor|Heart disease|Stroke|Lung tumor|Brain tumor|Ovary tumor,1261|319|49|623|626|65|755|760|799,,,Aposense Ltd,26957,Aposense Ltd,26957,,,,,,
55559,fluciclovine (18F),"syn-18F-FACBC|18F-labeled PET tracers (imaging agent), Emory|fluorine-18-labeled PET tracers (imaging agent), Emory|fluorine-18-syn-FACBC|NMK-36|GE-148-[18F]|18F-GE-148|fluorine-18-GE-148|18F-FACBC|fluorine-18-FACBC|FACBC-[18F]|fluciclovine (18F)|[18F]-fluciclovine|fluorine-18-fluciclovine|anti-18F-FACBC|fluciclovine F18|Axumin",Research Code|Research Code|Research Code|Research Code|INN|Trade Name,Cancer,,,Radiodiagnostic|Neoplasm diagnostic agent|Anticancer|Endocrine diagnostic agent|PET contrast agent,5720|7220|1545|7212|5555,Glioma|Transitional cell carcinoma|Bladder cancer|Prostate tumor|Metastatic breast cancer|Metastatic prostate cancer|Ovary tumor,1108|1771|2380|276|3657|3664|799,Cancer,651,Nihon Medi-Physics Co Ltd|Emory University|IASON Sp. z o.o.|DuChemBio Co Ltd|Blue Earth Diagnostics Ltd,26383|20573|1166815|1090216|1102488,GE Healthcare,25593,Emory University,20573,,,,,,
55560,birinapant,"Smac mimetics (cancer), TetraLogic|inhibitor of apoptosis protein antagonists (cancer), TetraLogic|XIAP antagonists (cancer), TetraLogic|GT-13065|TL-132711|birinapant|TL-32711|NSC-756502",Research Code|Research Code|USAN|INN|Research Code|Research Code,Cancer|Infection,Inhibitor of apoptosis protein 2 inhibitor|Inhibitor of apoptosis protein 1 inhibitor|X-linked inhibitor of apoptosis protein inhibitor|SMAC protein stimulator,13599|13602|13605|14457,Anticancer|Antiviral|Synergist|Apoptosis stimulator,1545|991|7293|1589,Squamous cell carcinoma|Solid tumor,307|725,Mesothelioma|Small-cell lung cancer|Stomach tumor|Myelodysplastic syndrome|Hepatitis B virus infection|Acute myelogenous leukemia|Cholangiocarcinoma|Fallopian tube cancer|Peritoneal tumor|Uterine cervix tumor|Head and neck tumor|Cancer|Chronic myelomonocytic leukemia|Ovary tumor|Colorectal tumor,1240|1261|127|1272|152|1731|1765|2243|3083|427|623|651|6833|799|989,IGM Biosciences Inc,1014332,TetraLogic Pharmaceuticals Corp|Medivir AB|Walter and Eliza Hall Institute of Medical Research,1021367|18015|21082,TetraLogic Pharmaceuticals Corp,1021367,,,,,,
55609,"olmesartan medoxomil + amlodipine besylate  (hypertension), Daiichi Sankyo","olmesartan + amlodipine (hypertension), Daiichi Sankyo|olmesartan medoxomil + amlodipine besylate|Sevikar|Azor|olmesartan medoxomil + amlodipine besylate  (hypertension), Daiichi Sankyo|Zolnor|Konverge",Trade Name|Trade Name|Trade Name|Trade Name,Cardiovascular,Angiotensin II receptor antagonist|Calcium channel inhibitor,64|93,Antihypertensive,2657,Hypertension,178,,,Daiichi Seiyaku Co Ltd|Merck Sharp & Dohme Pty Ltd|The Menarini Group|Daiichi Sankyo Co Ltd|Pfizer Inc|Daewoong Pharmaceutical Co Ltd|Sun Pharmaceutical Industries Ltd,15593|28606|18053|1017506|18767|15587|27561,Forest Laboratories Inc|Nycomed Inc|Ranbaxy Laboratories Ltd,16198|16859|21266,Daiichi Sankyo Co Ltd,1017506,,,,,,
55705,dacomitinib,PF-804|dacomitinib|PF-05199265|dacomitinib (USAN)|PF-00299804|PF-0299804|PF-299|PF-299804|Vizimpro,Research Code|INN|Research Code|USAN|Research Code|Research Code|Research Code|Trade Name,Cancer,Erbb2 tyrosine kinase receptor inhibitor|Erbb4 tyrosine kinase receptor inhibitor|Protein tyrosine kinase inhibitor|Epidermal growth factor receptor antagonist,3756|3760|385|740,Anticancer protein kinase inhibitor|Cell cycle inhibitor|Anticancer,62255|767|1545,Metastatic breast cancer|Metastatic non small cell lung cancer,3657|3665,Penis tumor|Glioblastoma|Metastatic stomach cancer|Metastatic head and neck cancer|Solid tumor|Mouth tumor,1791|2454|3666|3673|725|793,Pfizer Inc,18767,SFJ Pharmaceuticals Inc,1052050,Pfizer Inc,18767,,,,,,
5571,Pixuvri,"BBR-2778|pixantrone|second-generation anthracenedione analog (iv, non Hodgkin's lymphoma/ multiple sclerosis), Cell Therapeutics|second-generation anthracenedione analog (iv, non Hodgkin's lymphoma/ multiple sclerosis), Roche/ Cell Therapeutics|pixantrone dimaleate|Pixuvri|second-generation anthracenedione analog (iv, non Hodgkin's lymphoma/ multiple sclerosis), Roche/CTI BioPharma Corp|second-generation anthracenedione analog (iv, non Hodgkin's lymphoma/ multiple sclerosis), CTI BioPharma Corp",Research Code|INN|USAN|Trade Name,Cancer|Immune,DNA gyrase inhibitor,431,Anticancer alkylating agent|Immunomodulator,50|1596,Non-Hodgkin lymphoma,319,Metastasis|Chronic lymphocytic leukemia|Diffuse large B-cell lymphoma|Leukemia|Lymphoma|Multiple sclerosis|Breast tumor|Solid tumor|Myasthenia gravis,1069|1734|1749|199|203|213|49|725|848,Servier,19863,CTI BioPharma Corp|Roche Holding AG|Neopharm Ltd|Boehringer Mannheim GmbH|Novuspharma SpA,15337|19446|21388|24098|27036,Roche Holding AG,19446,,,,,,
5573,exatecan,DX-8951f|exatecan mesylate|DX-8951a|DX-8951|exatecan|UM-1|UM-2|exatecan hydrochloride,Research Code|USAN|Research Code|Research Code|INN|Metabolite|Metabolite,Cancer|Other/Miscellaneous,Topoisomerase I inhibitor,141,Anticancer,1545,,,Xerostomia|Leukemia|Cancer|Solid tumor,1063|199|651|725,,,Daiichi Seiyaku Co Ltd,15593,Daiichi Seiyaku Co Ltd,15593,,,,,,
55737,agerafenib hydrochloride,"AB-024|B-RAF kinase inhibitors (melanoma), Ambit/Cephalon|CEP-32496|RXDX-105|agerafenib hydrochloride|agerafenib",Research Code|Research Code|Research Code|PINN,Cancer,Ret tyrosine kinase receptor inhibitor|Raf B protein kinase inhibitor|Epidermal growth factor receptor antagonist,3818|4548|740,Anticancer protein kinase inhibitor,62255,Advanced solid tumor|Cancer,3713|651,,,Ignyta Inc,1079441,Cephalon Inc|Ambit Biosciences Corp,15358|29179,Ambit Biosciences Corp,29179,,,,,,
55740,"quetiapine fumarate (once-daily sustained release tablet), AstraZeneca","quetiapine fumarate|quetiapine|quetiapine fumarate (once-daily sustained release tablet), AstraZeneca|FK-949E|Bipresso|Seroquel SR|Seroquel XR|Seroquel ER|Seroquel XRO|Xeroquel LP|quetiapine XR",USAN|INN|Research Code|Trade Name|Trade Name|Trade Name|Trade Name|Trade Name|Trade Name,Neurology/Psychiatric|Toxicity/Intoxication,5-HT 2 receptor antagonist|Dopamine D2 receptor antagonist,13|150,Antidepressant|Antipsychotic,2941|2943,Mania|Schizophrenia|Bipolar II disorder|Major depressive disorder|Bipolar disorder|Depression,1957|299|3115|4898|653|93,Alcoholism|Generalized anxiety disorder|Insomnia,11|1937|750,Alvogen Korea|Astellas Pharma Inc|Distribution Solutions Phils Inc|CHEPLAPHARM Arzneimittel GmbH|Zuellig Pharma Holdings Pte Ltd|Luye Pharma Group Ltd,1109820|1013295|1227522|1129377|1138672|1015499,AstraZeneca plc|Bago,14190|14346,AstraZeneca plc,14190,,,,,,
55752,MelCancerVac,"MelCancerVac|MelCancerVax|dendritic cell vaccine (cancer), Enochian Biosciences|MCV|ENO-4001|ENOB-DB-01",Trade Name|Trade Name|Research Code|Research Code,Cancer,,,Dendritic cell vaccine|Therapeutic vaccine|Genetically engineered autologous cell vaccine|Anticancer,102926|12379|4791|1545,,,Non-small-cell lung cancer|Bladder cancer|Colorectal tumor,1262|2380|989,,,Enochian BioSciences Inc,31068,Enochian BioSciences Inc,31068,,,,,,
55798,crizotinib,PF-02341066|PF-2341066|crizotinib|PF-1066|Xalkori|NSC-749005,Research Code|Research Code|USAN|INN|Research Code|Trade Name|Research Code,Cancer,Anaplastic lymphoma kinase receptor inhibitor|MET tyrosine kinase receptor family inhibitor|Hepatocyte growth factor receptor antagonist|Ros1 tyrosine kinase receptor inhibitor|ALK tyrosine kinase receptor family inhibitor|Echinoderm microtubule like protein 4 inhibitor,3736|3796|675|3826|3851|48389,Anticancer protein kinase inhibitor,62255,Metastasis|Non-small-cell lung cancer|Stomach tumor|Anaplastic large cell lymphoma|Transitional cell carcinoma|Rhabdomyosarcoma|Glioblastoma|Neuroblastoma|Hormone refractory prostate cancer|Soft tissue sarcoma|Metastatic breast cancer|Metastatic non small cell lung cancer|Advanced solid tumor|Uveal melanoma|Metastatic renal cell carcinoma|Breast tumor,1069|1262|127|1755|1771|2448|2454|2726|3246|3378|3657|3665|3713|3788|4250|49,Renal cell carcinoma|Cancer,1766|651,OxOnc Development LP|Pfizer Inc,1088238|18767,,,Pfizer Inc,18767,,,,,,
55799,CALAA-01,"CALAA-01|ribonucleotide reductase M2 subunit (RRM2)-targeted siRNA agent (RONDEL, intravenous, cancer), Calando",Research Code,Cancer,Ribonucleotide reductase gene inhibitor|Transferrin modulator,12773|1515,Anticancer|siRNA agent,1545|26035,,,Solid tumor,725,,,Calando Pharmaceuticals Inc,1013715,Calando Pharmaceuticals Inc,1013715,,,,,,
55813,mogamulizumab,"KW-0761|CC chemokine receptor-4 modulator (allergy + cancer, POTELLIGENT), Kyowa Hakko Kirin|CCR4 modulator (allergy + cancer, POTELLIGENT), Kyowa Hakko Kogyo|KW-0761 (allergy), Amgen|anti-CCR4 humanized mAb ( allergy), Amgen|AMG-761|CC chemokine receptor-4 modulator (allergy + cancer, POTELLIGENT), Kyowa Hakko Kogyo|mogamulizumab|Poteligio|KM-8761|Poteligeo|mogamulizumab-kpkc",Research Code|Research Code|USAN|INN|Trade Name|Research Code|Trade Name,Cancer|Immune|Infection|Musculoskeletal|Respiratory,CCR4 chemokine antagonist,3104,Immunomodulator|Antiviral|Anti-inflammatory|Anticancer monoclonal antibody,1596|991|2953|55685,Mycosis fungoides|Human T cell leukemia virus 1 infection|Diffuse large B-cell lymphoma|Peripheral T-cell lymphoma|Cutaneous T-cell lymphoma|Sezary syndrome|Adult T-cell lymphoma|Tropical spastic paraparesis|Advanced solid tumor,1115|167|1749|1753|1754|1756|1757|2001|3713,Allergy|Asthma|T-cell lymphoma|Metastatic non small cell lung cancer|Solid tumor,12|31|311|3665|725,Kyowa Hakko Kirin Co Ltd|Kyowa Hakko Kogyo Co Ltd,1042596|17724,Amgen Inc,14109,Kyowa Hakko Kogyo Co Ltd,17724,,,,,,
55852,linagliptin,BI-1356-BS|BI-1356|Ondero|linagliptin|linagliptine|Tradjenta|Trajenta|Trazenta|Trayenta,Research Code|Research Code|Trade Name|USAN|INN|Trade Name|Trade Name|Research Code|Trade Name,Endocrine/Metabolic,Dipeptidyl peptidase IV inhibitor,5537,Vulnerary agent|DPP IV inhibitor antidiabetic product|Hypoglycemic agent,7292|38439|399,Non-insulin dependent diabetes,837,,,Eli Lilly & Co|Lupin Ltd|Boehringer Ingelheim International GmbH,17810|21932|14881,,,Boehringer Ingelheim International GmbH,14881,,,,,,
55901,"belinostat (oral, cancer), Onxeo","PXD-101|PXD-101 (oral, solid tumors), TopoTarget/Curagen|HDAC inhibitor (oral, solid tumors), TopoTarget/CuraGen|histone deacetylase inhibitor (oral, solid tumors), TopoTarget/Curagen|PX-089344|belinostat|belinostat (oral, solid tumors), TopoTarget/Curagen|belinostat (oral, cancer), BioAlliance Pharma/Spectrum|belinostat (oral, cancer), TopoTarget/Spectrum|belinostat (oral, cancer), Onxeo/Spectrum|belinostat (oral, cancer), Onxeo",Research Code|Research Code|USAN|INN,Cancer,Histone deacetylase inhibitor,2574,Anticancer,1545,Non-Hodgkin lymphoma|Cancer,319|651,Non-small-cell lung cancer|Lymphoma|Solid tumor,1262|203|725,Onxeo SA,28048,Spectrum Pharmaceuticals Inc|CuraGen Corp|TopoTarget A/S,24232|25491|29414,TopoTarget A/S,29414,,,,,,
55927,linsitinib,"OSI-906|IGF-1R tyrosine kinase inhibitor (cancer), OSI Pharmaceuticals|insulin-like growth factor receptor-1 tyrosine kinase inhibitor (cancer), OSI Pharmaceuticals|apoptosis inhibitor (solid tumors, small molecule therapeutic), OSI Pharmaceuticals|linsitinib|ASP-7487|OSI-906AA",Research Code|USAN|INN|Research Code|Research Code,Cancer,Insulin receptor antagonist|Insulin-like growth factor 1 receptor antagonist,3248|3252,Anticancer protein kinase inhibitor|Apoptosis inhibitor,62255|1590,,,Non-small-cell lung cancer|Adrenal cortical carcinoma|Hepatocellular carcinoma|Multiple myeloma|Head and neck tumor|Solid tumor|Ovary tumor|Colorectal tumor,1262|1648|1767|1828|623|725|799|989,,,Astellas Pharma Inc|OSI Pharmaceuticals Inc,1013295|18676,OSI Pharmaceuticals Inc,18676,,,,,,
55929,conatumumab,"AMG-655|TRAIL receptor-2 mAb (cancer), Amgen/Takeda|conatumumab|TRAIL-R2 mAb",Research Code|USAN|INN,Cancer,TRAIL-2 receptor agonist,8232,Anticancer monoclonal antibody|Apoptosis stimulator,55685|1589,,,Non-small-cell lung cancer|Sarcoma|Lymphoma|Pancreas tumor|Cancer|Solid tumor|Colorectal tumor,1262|194|203|249|651|725|989,,,Amgen Inc|Takeda Pharmaceutical Co Ltd|Takeda Bio Development Center Ltd,14109|20300|23215,Amgen Inc,14109,,,,,,
55949,pepinemab,"VX-15|anti-CD100 MAb (autoimmune disease/cancer), Vaccinex|anti-semaphorin 4D monoclonal antibody (autoimmune disease/cancer), Vaccinex|plexin B1 antagonist (autoimmune disease/cancer), Vaccinex|VX-15/2503|pepinemab|anti-SEMA4D antibody, Vaccinex",Research Code|Research Code,Cancer|Immune|Neurology/Psychiatric,Semaphorin-4D inhibitor|Plexin B1 inhibitor,10970|23553,Neuroprotectant|Nootropic agent|Angiogenesis inhibitor|Synergist|Immunomodulator|Anticancer monoclonal antibody,1615|284|61|7293|1596|55685,Non-small-cell lung cancer|Alzheimers disease|Huntingtons chorea|Osteosarcoma|Multiple sclerosis|Pancreas tumor|Squamous cell carcinoma|Stage IV melanoma|Metastatic head and neck cancer|Head and neck tumor|Solid tumor|Colorectal tumor,1262|14|170|1772|213|249|307|3257|3673|623|725|989,Cancer,651,Vaccinex Inc,29595,Teva Pharmaceutical Industries Ltd,20348,Vaccinex Inc,29595,,,,,,
55976,CDX-1401,"CDX-1401|CD205 modulator (vaccine/mAb, solid tumor), Celldex|DEC-205-NY-ESO-1 vaccine (solid tumor), Celldex|rasdegafusp alfa",USAN,Cancer|Hematologic|Infection,Lymphocyte antigen 75 modulator|Cancer testis antigen NY-ESO-1 modulator,68361|50096,Anticancer|Anticancer monoclonal antibody|Antiviral,1545|55685|991,,,Myelodysplastic syndrome|HIV infection|Anemia|Acute myelogenous leukemia|Stage IV melanoma|Chronic myelomonocytic leukemia|Solid tumor,1272|158|17|1731|3257|6833|725,,,Celldex Therapeutics Inc (pre-merger)|Celldex Therapeutics Inc,1017309|25726,Celldex Therapeutics Inc (pre-merger),1017309,,,,,,
55989,"paclitaxel (nanoparticle, suspension, pancreatic cyst/ovarian cancer/prostate cancer/pancreatic cancer), NanOlogy/US Biotest","paclitaxel|paclitaxel (nanocrystalline, aqueous injectable, intraperitoneal sustained release suspension, cancer), CritiTech|Nanotax|paclitaxel (intraperitoneal nanoparticle, ovarian cancer), CritiTech/NanOlogy|paclitaxel (intraperitoneal nanoparticle, ovarian cancer), CritiTech/NanOlogy/US Biotest|paclitaxel (nanoparticle, suspension, pancreatic cyst/ovarian cancer/prostate cancer/pancreatic cancer), NanOlogy/US Biotest|NanoPac",USAN|BANN|INN|Trade Name|Trade Name,Cancer,Tubulin binding agent,499,Anticancer,1545,Small-cell lung cancer|Non-small-cell lung cancer|Pancreatic cystadenocarcinoma|Pancreas tumor|Prostate tumor|Ovary tumor,1261|1262|1508|249|276|799,Cancer,651,US Biotest Inc|NanOlogy LLC,1054867|1114892,CritiTech Inc,30791,CritiTech Inc,30791,,,,,,
55997,tabalumab,"LY-2127399|anti-BAFF humanized monoclonal antibody (rheumatoid arthritis/lupus), Eli Lilly|BAFF antibody (RA/lupus), Eli Lilly|tabalumab",Research Code|USAN|INN,Cancer|Immune,B-lymphocyte stimulator ligand inhibitor,12770,Anti-inflammatory|Immunosuppressant|Anticancer antibody,2953|396|55684,,,Multiple myeloma|Multiple sclerosis|Rheumatoid arthritis|Systemic lupus erythematosus,1828|213|291|318,,,Eli Lilly & Co,17810,Eli Lilly & Co,17810,,,,,,
5606,valspodar,PSC-833|SDZ-PSC-833|Amdray|valspodar|SDZ-214-103|NSC-648265,Research Code|Research Code|Trade Name|INN|Research Code|Research Code,Cancer|Infection,,,Anticancer multidrug resistance inhibitor|Radiochemosensitizer|Unspecified drug target,759|572|59620,,,Acute myelogenous leukemia|Multiple myeloma|Lymphoma|Plasmodium infection|Breast tumor|Cancer|Ovary tumor,1731|1828|203|268|49|651|799,,,Novartis Pharma KK|National Cancer Institute (NCI)|Novartis AG,16018|20519|23137,Novartis AG,23137,,,,,,
56236,ublituximab,"anti-CD20 antibody (lymphoma), LFB/GTC|chimeric anti-CD20 antibody (lymphoma), Laboratoire Francais du Fractionnement et des Biotechnologies|TG-20|ublituximab|LFB-R603|anti-CD20 antibody (lymphoma), TG Therapeutics|Utuxin|LABI-R603|TG-1101|TGTX-1101|TG-1011|rituximab biobetter, Il Dong",Research Code|USAN|INN|Research Code|Trade Name|Research Code|Research Code|Research Code|Research Code,Cancer|Hematologic|Immune|Neurology/Psychiatric,Immunoglobulin gamma Fc receptor IIIA agonist|B-lymphocyte antigen CD20 modulator,27981|5083,Immunostimulant|Anti-inflammatory|Anticancer monoclonal antibody|Leukocyte stimulator|Natural killer cell stimulator|T-lymphocyte stimulator,393|2953|55685|7747|7757|7761,Chronic lymphocytic leukemia|Diffuse large B-cell lymphoma|Multiple sclerosis|Autoimmune disease|Cancer,1734|1749|213|36|651,Macroglobulinemia|Mantle cell lymphoma|Follicle center lymphoma|Marginal zone B-cell lymphoma|Leukemia|Lymphoma|Neuromyelitis optica|B-cell lymphoma|Non-Hodgkin lymphoma,1264|1744|1745|1746|199|203|2316|316|319,Ildong Pharmaceutical Co Ltd|TG Therapeutics Inc,17101|31093,LFB SA|rEVO Biologics Inc,25256|25900,LFB SA,25256,,,,,,
56251,"menadione (topical, skin rash), Spectrum Pharmaceuticals","menadione|menadione (topical, skin rash), Hana|vitamin K3 (topical, skin rash), Hana|menadione (topical, skin rash), Talon|menadione (topical, skin rash), Spectrum Pharmaceuticals",,Dermatologic,Protein tyrosine phosphatase inhibitor|EGFR family tyrosine kinase receptor stimulator,1651|8682,,,,,Skin allergy|Skin rash,1101|3020,,,Talon Therapeutics Inc|Spectrum Pharmaceuticals Inc|Albert Einstein College of Medicine,1010798|24232|24282,Albert Einstein College of Medicine,24282,,,,,,
56308,CBT-1,"CBT-1|p-glycoprotein inhibitor (cancer), CBA Pharma",Research Code|Trade Name,Cancer|Infection,P-Glycoprotein inhibitor,7494,Antibacterial|Anticancer chemosensitizer,1594|1586,Non-small-cell lung cancer|Cancer,1262|651,MRSA infection,1267,CBA Pharma Inc,15325,,,CBA Pharma Inc,15325,,,,,,
56368,veliparib,"PARP inhibitor (cancer), Abbott/NIH|NSC-737664|ABT-888|veliparib|ABT-620223|PARP inhibitor (testicular cancer/germ cell and embryonic cancer/seminoma), AbbVie",Research Code|Research Code|USAN|INN|Research Code,Cancer,Poly ADP ribose polymerase 1 inhibitor|Poly ADP ribose polymerase 2 inhibitor|PARP inhibitor,38283|38286|2507,Anticancer,1545,Testis tumor|Small-cell lung cancer|Lymphoma|Seminoma|Fallopian tube cancer|Peritoneal tumor|Metastatic breast cancer|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic pancreas cancer|Germ cell and embryonic cancer|Ovary tumor,1054|1261|203|2167|2243|3083|3657|3658|3665|3669|3737|799,Metastasis|Glioma|Neuroendocrine tumor|Hepatocellular carcinoma|Multiple myeloma|Melanoma|Glioblastoma|Gliosarcoma|Prostate tumor|Hormone refractory prostate cancer|Stage IV melanoma|Metastatic rectal cancer|Breast tumor|Cancer|Solid tumor|Colorectal tumor,1069|1108|1128|1767|1828|205|2454|2727|276|3246|3257|3671|49|651|725|989,AbbVie Inc,1072507,Abbott Laboratories,13601,Abbott Laboratories,13601,,,,,,
56406,"demplatin pegraglumer (injectable/micelle, pancreatic/bladder/NSCLC/biliary tract/head and neck/lung cancer/solid tumors), NanoCarrier/Orient Europharma","cisplatin|NC-6004|Nanoplatin|cisplatin (injectable, micelle), NanoCarrier/Debiopharm|cisplatin (injectable, micelle), NanoCarrier/Orient Europharma|demplatin pegraglumer|demplatin pegraglumer (injectable/micelle, pancreatic/bladder/NSCLC/biliary tract/head and neck/lung cancer/solid tumors), NanoCarrier/Orient Europharma",USAN|INN|Research Code|Trade Name|USAN|INN,Cancer,,,Cell cycle inhibitor|Microtubule stabilizer|Anticancer,767|2576|1545,Non-small-cell lung cancer|Biliary cancer|Bladder cancer|Pancreas tumor|Squamous cell carcinoma|Head and neck tumor|Cancer,1262|1516|2380|249|307|623|651,Solid tumor,725,NanoCarrier Co Ltd|Orient Europharma,29050|DOL1000087,Debiopharm SA,15620,NanoCarrier Co Ltd,29050,,,,,,
56409,BMS-690514,"BMS-690514|panHER/VEGFR-2 kinase inhibitor (cancer), BMS|panHER/VEGFR-2 kinase inhibitor (cancer), Bristol-Myers Squibb|BMS-399626|BMS-655875|ErbB/VEGF inhibitor (cancer), BMS",Research Code|Research Code|Research Code,Cancer,Epidermal growth factor receptor modulator|Erbb2 tyrosine kinase receptor inhibitor|Erbb3 tyrosine kinase receptor inhibitor|Erbb4 tyrosine kinase receptor inhibitor|VEGF-2 receptor antagonist,3605|3756|3758|3760|3848,Apoptosis stimulator|Anticancer protein kinase inhibitor,1589|62255,,,Non-small-cell lung cancer|Breast tumor|Solid tumor,1262|49|725,,,Bristol-Myers Squibb Co,15065,Bristol-Myers Squibb Co,15065,,,,,,
56423,IPI-493,"IPI-504|Hsp 90 inhibitors (oral, cancer), Infinity|IPI-493|17-AG|17-amino-geldanamycin",Research Code|Research Code|Research Code,Cancer,Hsp 90 inhibitor,8012,Apoptosis stimulator|Anticancer,1589|1545,,,Hematological neoplasm|Cancer|Solid tumor,2054|651|725,,,MedImmune LLC|Infinity Pharmaceuticals Inc,18008|29753,Infinity Pharmaceuticals Inc,29753,,,,,,
56514,"acadesine (intravenous, prodrug, B-CLL/MM/MCL), Advancell","acadesine|AICAR|acadesine (intravenous formulation, leukemia), Advanced In Vitro Cell Technologies|Acadra|ADV-P1|ATH-001|acadesine (intravenous, prodrug, B-CLL/MM/MCL), Advancell",USAN|BAN|INN|Trade Name|Research Code|Research Code,Cancer,AMP activated protein kinase stimulator,8805,Anticancer|Apoptosis stimulator,1545|1589,,,Myelodysplastic syndrome|Acute myelogenous leukemia|Chronic lymphocytic leukemia|Chronic myelocytic leukemia|Mantle cell lymphoma|Multiple myeloma|Chronic myelomonocytic leukemia,1272|1731|1734|1735|1744|1828|6833,,,Universitat de Barcelona|Advancell|BTG plc|Protherics plc,1003992|1011926|15266|19164,Universitat de Barcelona,1003992,,,,,,
56516,fedratinib dihydrochloride monohydrate,"TG-101193|TG-101348|JAK2 inhibitors (myeloproliferative disorder), TargeGen|JAK-2.V617F inhibitors (MPD), TargeGen|TG-101209|dual FLT3/JAK2 inhibitors (myeloproliferative disorders), TargeGen|FLT3/JAK2/Ret inhibitor (myeloproliferative disorders), TargeGen|SAR-302503|fedratinib|Inrebic|fedratinib dihydrochloride monohydrate|fedratinib hydrochloride",Research Code|Research Code|Research Code|Research Code|USAN|INN|Trade Name|USAN,Cancer|Hematologic,Jak2 tyrosine kinase inhibitor|Flt3 tyrosine kinase inhibitor|Ret tyrosine kinase receptor inhibitor,3564|3806|3818,Anticancer protein kinase inhibitor,62255,Thrombocythemia|Polycythemia vera|Myelofibrosis,2317|2319|2436,Myeloproliferative disorder|Solid tumor,273|725,Bristol-Myers Squibb Co,15065,Impact Biomedicines Inc|Celgene Corp|TargeGen Inc,1155296|15331|29571,TargeGen Inc,29571,,,,,,
56518,elotuzumab,"CS1 targeting humanized monoclonal antibody (mab, multiple myeloma), PDL|elotuzumab|HuLuc63|PDL-063|CS1 targeting humanized mAb (multiple myeloma), Bristol-Myers Squibb|CS1 targeting humanized mAb (multiple myeloma), Facet|anti-CS1 antibody (cancer), BMS/PDL|anti-CD37 mAb (multiple myeloma), Bristol-Myers Squibb|Empliciti|BMS-901608",USAN|INN|Research Code|Research Code|Trade Name|Research Code,Cancer,SLAM family member 7 inhibitor|Lymphocyte function antigen-3 receptor modulator,45395|5017,Anticancer monoclonal antibody,55685,Multiple myeloma,1828,,,Bristol-Myers Squibb Co|AbbVie Inc,15065|1072507,AbbVie Biotherapeutics Inc|Abbott Laboratories|PDL BioPharma Inc,1044720|13601|19162,PDL BioPharma Inc,19162,,,,,,
56544,cobimetinib,"MEK inhibitor (oral, cancer), Exelixis/Genentech|GDC-0973|XL-518|cobimetinib|cobimetinib butyrate|RG-7421|RG-7420 (GDC-0973)|cobimetinib fumarate|[14C]-GDC-0973|RO-5514041|Cotellic",Research Code|Research Code|USAN|INN|Research Code|Research Code|USAN|Research Code|Research Code|Trade Name,Cancer|Hematologic|Neurology/Psychiatric,MEK protein kinase inhibitor|MEK-1 protein kinase inhibitor|MEK-2 protein kinase inhibitor,4760|4762|4764,Anticancer protein kinase inhibitor|Synergist,62255|7293,Pituitary tumor|Pancreatic ductal adenocarcinoma|Acute myelogenous leukemia|Multiple myeloma|Sarcoma|Neurodegenerative disease|Stage III melanoma|Stage IV melanoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic stomach cancer|Histiocytosis|Solid tumor|Ovary tumor,1131|1507|1731|1828|194|233|3256|3257|3658|3665|3666|4682|725|799,Transitional cell carcinoma|Melanoma|Metastatic head and neck cancer|Metastatic renal cell carcinoma|Breast tumor|Cancer,1771|205|3673|4250|49|651,Roche Holding AG|Chugai Pharmaceutical Co Ltd|Genentech Inc,19446|15414|19453,Exelixis Inc,22676,Exelixis Inc,22676,,,,,,
