Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
abiraterone acetate,"Steroid synthesis inhibitor; 17,20 lyase inhibitor",abiraterone acetate,,abiraterone,abiraterone acetate,fexact,"['CB-7598', 'piraterone', 'abiraterone', 'abiraterone acetate', 'JNJ-212082', 'CB-7630', 'Zytiga', 'JNJ-589485']",abiraterone,fexact,"['cb 7598', 'piraterone', 'abiraterone', 'abiraterone acetate', 'jnj 212082', 'cb 7630', 'zytiga', 'jnj 589485']",correct_mapping
enzalutamide,Androgen receptor antagonist,enzalutamide,,enzalutamide,enzalutamide,fexact,"['MDVN-311', 'RD-162', 'MDVN-312', 'prostate cancer therapeutics, Medivation', 'Xtandi', ""RD-162'"", 'enzalutamide', 'ASP-9785', 'MDV-3100', 'MDVN-300', 'MDV-300', 'prostate cancer therapeutics']",enzalutamide,fexact,"['mdvn 311', 'rd 162', 'mdvn 312', 'prostate cancer therapeutics medivation', 'xtandi', 'rd 162', 'enzalutamide', 'asp 9785', 'mdv 3100', 'mdvn 300', 'mdv 300', 'prostate cancer therapeutics']",correct_mapping
Temferon,Interferon alpha antagonist; Immuno-oncology therapy,Temferon,,Temferon,temferon,fexact,"['HIV-derived lentivirus delivered gene therapy (solid tumor)', 'Temferon']",Temferon,fexact,"['hiv derived lentivirus delivered gene therapy solid tumor', 'temferon']",correct_mapping
felzartamab,CD38 antagonist; Immuno-oncology therapy,felzartamab,,felzartamab,felzartamab,fexact,"['MOR-202', 'HuCAL-mAb3', 'HuCAL-mAb2, MorphoSys', 'felzartamab', 'anti-cd38 fully human monoclonal antibody (recrurrent/refractory multiple myeloma), /morphosys', 'HuCAL-mAb1', 'MOR-03087', 'HuCAL-mAb2', 'TJ-202', 'anti-CD38 antibodies, MorphoSys', 'HuCAL-mAb1, MorphoSys', 'anti-CD38 fully human monoclonal antibody (recrurrent/refractory multiple myeloma), I-Mab Biopharma/MorphoSys', 'anti-CD38 antibodies', 'HuCAL-mAb3, MorphoSys', 'anti-cd38 fully human monoclonal antibody (recrurrent/refractory multiple myeloma),/']",felzartamab,fexact,"['mor 202', 'hucal mab3', 'hucal mab2 morphosys', 'felzartamab', 'anti cd38 fully human monoclonal antibody recrurrent refractory multiple myeloma morphosys', 'hucal mab1', 'mor 03087', 'hucal mab2', 'tj 202', 'anti cd38 antibodies morphosys', 'hucal mab1 morphosys', 'anti cd38 fully human monoclonal antibody recrurrent refractory multiple myeloma i mab biopharma morphosys', 'anti cd38 antibodies', 'hucal mab3 morphosys', 'anti cd38 fully human monoclonal antibody recrurrent refractory multiple myeloma']",correct_mapping
Thymoglobulin,Immunosuppressant; T cell inhibitor,Thymoglobulin,,Thymoglobulin,thymoglobulin,fexact,"['Thymoglobuline', 'Thymoglobulin', 'anti-Thymocyte-globulin (rabbit)', 'GZ-427051']",Thymoglobulin,fexact,"['thymoglobuline', 'thymoglobulin', 'anti thymocyte globulin rabbit', 'gz 427051']",correct_mapping
melphalan (oral),DNA inhibitor,melphalan,,,,0,"['melphalan (percutaneous hepatic perfusion, liver cancer),/NCI', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma),/NCI', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma/cholangiocarcinoma),/', 'melphalan (percutaneous hepatic perfusion, liver cancer),/', 'melphalan (hepatic delivery system)', 'melphalan (Chemosat, liver cancer),/', 'melphalan (percutaneous hepatic perfusion, hepatocellular carcinoma/cholangiocarcinoma/metastatic ocular melanoma),/', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma),/', 'HEPZATO', 'CHEMOSAT', 'melphalan (Chemosat, liver cancer),/NCI', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma/cholangiocarcinoma),/NCI', 'melphalan (percutaneous hepatic perfusion, hepatocellular carcinoma/cholangiocarcinoma/metastatic ocular melanoma),/NCI', 'melphalan', 'Melblez']",,NER_API,[],0
PD-L1 peptide vaccine,Immunostimulant; Immuno-oncology therapy,PD-L1 peptide vaccine,,,,0,['PD-L1 peptide vaccine'],,0,[],0
Myelovax,Immunostimulant,Myelovax,,,,0,['Myelovax'],,0,[],0
GM-CSF vaccine,Granulocyte macrophage colony stimulating factor agonist,GM-CSF vaccine,,,,0,['GM-CSF vaccine'],,Drug_API_mapping,[],0
CAR-T cell therapy,Immuno-oncology therapy,CAR-T cell therapy,,,,0,['CAR-T cell therapy'],,0,[],0
BI-836909,CD3 agonist; Immuno-oncology therapy,BI-836909,,AMG-420,bi 836909,fexact,"['anti-CD3/anti-BCMA bispecific T-cell engager (BiTE, multiple myeloma),//', 'anti-CD3/anti-BCMA bispecific T-cell engager (BiTE, multiple myeloma), Micromet//', 'pacanalotamab', 'AMG-420', 'anti-CD3/anti-BCMA bispecific T-cell engager (BiTE, multiple myeloma), Micromet//Boehringer Ingelheim', 'BI-836909']",AMG-420,fexact,"['anti cd3 anti bcma bispecific t cell engager bite multiple myeloma', 'anti cd3 anti bcma bispecific t cell engager bite multiple myeloma micromet', 'pacanalotamab', 'amg 420', 'anti cd3 anti bcma bispecific t cell engager bite multiple myeloma micromet boehringer ingelheim', 'bi 836909']",correct_mapping
REGN-5458,CD3 agonist; Immuno-oncology therapy,REGN-5458,,REGN-5458,regn 5458,fexact,"['anti-CD3/anti-BCMA bispecific T-cell engager (cancer)', 'BCMAxCD3 bispecific antibody (cancer)', 'REGN-5458', 'anti-CD3/anti-BCMA bispecific T-cell engager (cancer),/Sanofi']",REGN-5458,fexact,"['anti cd3 anti bcma bispecific t cell engager cancer', 'bcmaxcd3 bispecific antibody cancer', 'regn 5458', 'anti cd3 anti bcma bispecific t cell engager cancer sanofi']",correct_mapping
CVD908ssb-TXSVN,Immunostimulant,CVD908ssb-TXSVN,,cvd908delta-ssb-based svn and mycn vaccines (cancer),cvd908ssb txsvn,fexact,"['CVD908ssb-TXSVN', 'cancer vaccine (attenuated salmonella strain), university of maryland school of medicine', 'cancer vaccine (attenuated salmonella strain)', 'cvd908delta-ssb-based svn and mycn vaccines (cancer), university of maryland school of medicine', 'cvd908delta-ssb-based svn and mycn vaccines (cancer)']",cvd908delta-ssb-based svn and mycn vaccines (cancer),fexact,"['cvd908ssb txsvn', 'cancer vaccine attenuated salmonella strain university of maryland school of medicine', 'cancer vaccine attenuated salmonella strain', 'cvd908delta ssb based svn and mycn vaccines cancer university of maryland school of medicine', 'cvd908delta ssb based svn and mycn vaccines cancer']",correct_mapping
"chimeric-antigen receptor B cell maturation antigen-CS1, iCell Gene Therapeutics",T cell stimulant; Immuno-oncology therapy,chimeric-antigen receptor B cell maturation antigen-CS1,iCell Gene Therapeutics,,,0,['chimeric-antigen receptor B cell maturation antigen-CS1'],,0,[],0
"BCMA-UCART, Shanghai Bioray Laboratory",T cell stimulant; B-cell maturation antigen antagonist; Immuno-oncology therapy,BCMA-UCART,Shanghai Bioray Laboratory,BCMA-UCART,bcma ucart,fexact,"['anti-BCMA CAR T-cell therapy (allogeneic, UCAR technology, multiple myeloma)', 'BCMA-UCART']",BCMA-UCART,fexact,"['anti bcma car t cell therapy allogeneic ucar technology multiple myeloma', 'bcma ucart']",correct_mapping
UCARTCS1,T cell stimulant; Immuno-oncology therapy; Genome editing,UCARTCS1,,UCART-CS1,ucart cs1,fuzzy,"['UCART-CS1', 'anti-cs1 car t-cell therapy (multiple myeloma/all)', 'UCART-CS1A', 'anti-CS1 CAR T-cell therapy (multiple myeloma/ALL),/MD Anderson Cancer Center']",UCART-CS1,fexact,"['ucart cs1', 'anti cs1 car t cell therapy multiple myeloma all', 'ucart cs1a', 'anti cs1 car t cell therapy multiple myeloma all md anderson cancer center']",incorrect_mapping
rimiducid,Immunostimulant,rimiducid,,rimiducid,rimiducid,fexact,"['AP-1903', 'AP-1903 + ARGENT (GvHD),//Washington/', 'AP-1903 + ARGENT (GvHD),/Genovo/Washington/Raffaele', 'AP-1903 + ARGENT (GvHD),///', 'AP-1966', 'Dimerizer Drug, AP-1903', 'rimiducid', 'AP-1903 + ARGENT (GvHD),//Washington/Raffaele', 'AP-1889']",rimiducid,fexact,"['ap 1903', 'ap 1903 argent gvhd washington', 'ap 1903 argent gvhd genovo washington raffaele', 'ap 1903 argent gvhd', 'ap 1966', 'dimerizer drug ap 1903', 'rimiducid', 'ap 1903 argent gvhd washington raffaele', 'ap 1889']",correct_mapping
HPN-217,CD3 agonist; B-cell maturation antigen antagonist; Immuno-oncology therapy,HPN-217,,HPN-217,hpn 217,fexact,"['anti-CD3/anti-BCMA/anti-albumin trispecific T-cell engager (TriTAC, multiple myeloma)', 'HPN-217']",HPN-217,fexact,"['anti cd3 anti bcma anti albumin trispecific t cell engager tritac multiple myeloma', 'hpn 217']",correct_mapping
enasidenib,Isocitrate dehydrogenase 2 inhibitor,enasidenib,,enasidenib,enasidenib,fexact,"['AG-221', 'isocitrate dehydrogenase-2 inhibitor (oral, cancer/type II D-2 hydroxyglutaric aciduria),/', 'enasidenib mesylate', 'AGI-12910', 'isocitrate dehydrogenase-2 inhibitor (oral, cancer/type II D-2 hydroxyglutaric aciduria),/Celgene', 'AG-221 mesylate', 'CC-90007', 'Idhifa', 'enasidenib', 'AGI-6780', 'AGI-12026']",enasidenib,fexact,"['ag 221', 'isocitrate dehydrogenase 2 inhibitor oral cancer type ii d 2 hydroxyglutaric aciduria', 'enasidenib mesylate', 'agi 12910', 'isocitrate dehydrogenase 2 inhibitor oral cancer type ii d 2 hydroxyglutaric aciduria celgene', 'ag 221 mesylate', 'cc 90007', 'idhifa', 'enasidenib', 'agi 6780', 'agi 12026']",correct_mapping
MB-104,T cell stimulant; Immuno-oncology therapy,MB-104,,MB-104,mb 104,fexact,"['anti-cs1 car t-cell therapy (multiple myeloma),/nci/', 'anti-cs1 car t-cell therapy (multiple myeloma),/', 'cs1-car t-cell therapy (multiple myeloma),/nci', 'anti-cs1 car t-cell therapy (multiple myeloma),/nci', 'anti-cs1 car t-cell therapy (multiple myeloma), /nci/mustang bio', 'anti-cs1 car t-cell therapy (multiple myeloma),//', 'cs1-car t-cell therapy (multiple myeloma),/', 'MB-104', 'cs1-car t-cell therapy (multiple myeloma), /nci', 'anti-cs1 car t-cell therapy (multiple myeloma), /nci']",MB-104,fexact,"['anti cs1 car t cell therapy multiple myeloma nci', 'anti cs1 car t cell therapy multiple myeloma', 'cs1 car t cell therapy multiple myeloma nci', 'anti cs1 car t cell therapy multiple myeloma nci', 'anti cs1 car t cell therapy multiple myeloma nci mustang bio', 'anti cs1 car t cell therapy multiple myeloma', 'cs1 car t cell therapy multiple myeloma', 'mb 104', 'cs1 car t cell therapy multiple myeloma nci', 'anti cs1 car t cell therapy multiple myeloma nci']",correct_mapping
tinostamustine,Histone deacetylase inhibitor,tinostamustine,,tinostamustine,tinostamustine,fexact,"['NL-101 (cancer),//', 'tinostamustine (cancer), Northlake Biosciences/Mundipharma/Hangzhou Minsheng', 'tinostamustine (cancer), Northlake Biosciences/Mundipharma/', 'tinostamustine (intravenous, hematological cancer/solid tumors),//', 'NL-101 (cancer), Northlake Biosciences/Mundipharma/Hangzhou Minsheng', 'tinostamustine', 'tinostamustine (intravenous, hematological cancer/solid tumors), Northlake Biosciences//', 'NL-101', 'EDO-S101', 'tinostamustine (cancer), Northlake Biosciences//', 'NL-101 (cancer), Northlake Biosciences//', 'tinostamustine (intravenous, hematological cancer/solid tumors), Northlake Biosciences/Mundipharma/Hangzhou Minsheng', 'tinostamustine (intravenous, hematological cancer/solid tumors), Northlake Biosciences/Mundipharma/', 'tinostamustine (cancer),//', 'CY-190602', 'NL-101 (cancer), Northlake Biosciences/Mundipharma/']",tinostamustine,fexact,"['nl 101 cancer', 'tinostamustine cancer northlake biosciences mundipharma hangzhou minsheng', 'tinostamustine cancer northlake biosciences mundipharma', 'tinostamustine intravenous hematological cancer solid tumors', 'nl 101 cancer northlake biosciences mundipharma hangzhou minsheng', 'tinostamustine', 'tinostamustine intravenous hematological cancer solid tumors northlake biosciences', 'nl 101', 'edo s101', 'tinostamustine cancer northlake biosciences', 'nl 101 cancer northlake biosciences', 'tinostamustine intravenous hematological cancer solid tumors northlake biosciences mundipharma hangzhou minsheng', 'tinostamustine intravenous hematological cancer solid tumors northlake biosciences mundipharma', 'tinostamustine cancer', 'cy 190602', 'nl 101 cancer northlake biosciences mundipharma']",correct_mapping
ALLO-715,T cell stimulant; Immuno-oncology therapy; Genome editing,ALLO-715,,ALLO-715,allo 715,fexact,"['Anti-BCMA AlloCAR  Therapy', 'anti-BCMA engineered\xa0allogenic chimeric antigen receptor (CAR) T-cell therapy (iv, relapsed/refractory multiple myeloma),/Pfizer', 'UCART-BCMA', 'BCMA-targeted allogenic CAR T-cell therapy (iv, relapsed/refractory multiple myeloma),/Cellectis', 'anti-BCMA engineered\xa0allogenic chimeric antigen receptor (CAR) T-cell therapy (iv, relapsed/refractory multiple myeloma),/', 'BCMA-targeted allogenic CAR T-cell therapy (iv, relapsed/refractory multiple myeloma),/', 'ALLO-715', 'anti-BCMA CAR T-cell therapy (multiple myeloma), Cellectis/Pfizer', 'anti-BCMA CAR T-cell therapy (multiple myeloma),/Pfizer', 'anti-BCMA CAR T-cell therapy (multiple myeloma),/']",ALLO-715,fexact,"['anti bcma allocar therapy', 'anti bcma engineered\xa0allogenic chimeric antigen receptor car t cell therapy iv relapsed refractory multiple myeloma pfizer', 'ucart bcma', 'bcma targeted allogenic car t cell therapy iv relapsed refractory multiple myeloma cellectis', 'anti bcma engineered\xa0allogenic chimeric antigen receptor car t cell therapy iv relapsed refractory multiple myeloma', 'bcma targeted allogenic car t cell therapy iv relapsed refractory multiple myeloma', 'allo 715', 'anti bcma car t cell therapy multiple myeloma cellectis pfizer', 'anti bcma car t cell therapy multiple myeloma pfizer', 'anti bcma car t cell therapy multiple myeloma']",correct_mapping
ALLO-647,CD52 antagonist,ALLO-647,,ALLO-647,allo 647,fexact,"['anti-CD52 monoclonal antibody (lymphodepletion agent/CAR  persisitence)', 'anti-CD52 monoclonal antibody (lymphodepletion agent/CAR T persisitence)', 'ALLO-647', 'CAR T-cell therapy (cancer),/ Pfizer', 'UCART-S1', 'CAR T-cell therapy (cancer),/', 'CAR T-cell therapy (cancer), Cellectis/ Pfizer', 'CAR T-cell therapy (cancer), Cellectis/']",ALLO-647,fexact,"['anti cd52 monoclonal antibody lymphodepletion agent car persisitence', 'anti cd52 monoclonal antibody lymphodepletion agent car t persisitence', 'allo 647', 'car t cell therapy cancer pfizer', 'ucart s1', 'car t cell therapy cancer', 'car t cell therapy cancer cellectis pfizer', 'car t cell therapy cancer cellectis']",correct_mapping
"LCAR-B4822M-02 CAR-T cell immunotherapy, Nanjing Legend Biotech",T cell stimulant; Immuno-oncology therapy,LCAR-B4822M-02 CAR-T cell immunotherapy,Nanjing Legend Biotech,,,0,['LCAR-B4822M-02 CAR-T cell immunotherapy'],,0,[],0
CART-138 cells,Immuno-oncology therapy,CART-138 cells,,,,0,['CART-138 cells'],,0,[],0
osalmid,Ribonucleoside diphosphate reductase inhibitor,osalmid,,,,0,['osalmid'],,0,[],0
"BCMA chimaeric antigen receptor therapy, Pregene",T cell stimulant; Immuno-oncology therapy,BCMA chimaeric antigen receptor therapy,Pregene,,,0,['BCMA chimaeric antigen receptor therapy'],,0,[],0
FOR-46,Unidentified pharmacological activity,FOR-46,,FOR-46,for 46,fexact,"['anti-CD46 antibody-drug conjugate (metastatic castration-resistant prostate cancer)', 'anti-CD46 antibody-drug conjugate (metastatic castration-resistant prostate cancer and multiple myeloma)', 'FOR-46']",FOR-46,fexact,"['anti cd46 antibody drug conjugate metastatic castration resistant prostate cancer', 'anti cd46 antibody drug conjugate metastatic castration resistant prostate cancer and multiple myeloma', 'for 46']",correct_mapping
cytokine-treated veto cells,Unidentified pharmacological activity,cytokine-treated veto cells,,,,0,['cytokine-treated veto cells'],,0,[],0
bisthianostat,Histone deacetylase inhibitor,bisthianostat,,BGT-001,bisthianostat,fexact,"['beisainuota', 'bisthianostat', 'BGT-001', 'small molecule therapeutic (oral/tablet, cancer)']",BGT-001,fexact,"['beisainuota', 'bisthianostat', 'bgt 001', 'small molecule therapeutic oral tablet cancer']",correct_mapping
"cannabidiol, Leaf Vertical",Adenosine uptake inhibitor; Cannabinoid CB1 receptor inverse agonist; Vanilloid receptor 1 agonist; GPR55 antagonist,cannabidiol,Leaf Vertical,,,0,"['RLS-102', 'cannabidiol', 'cannabidiol (oral capsule, agitation)', 'Cannabidiol SNAC capsule']",,NER_API,[],0
dendritic cell DKK1 vaccine,Immunostimulant,dendritic cell DKK1 vaccine,,,,0,['dendritic cell DKK1 vaccine'],,0,[],0
"humanized non-fucosylated anti-BCMA antibody, Seattle Genetics",B-cell maturation antigen antagonist; Immuno-oncology therapy,humanized non-fucosylated anti-BCMA antibody,Seattle Genetics,,,0,['humanized non-fucosylated anti-BCMA antibody'],,0,[],0
carmustine,DNA inhibitor,carmustine,,,,0,"['NSC 409962', 'injectable carmustine', 'DTI-015', 'Carmustin', 'BCNU', 'carmustine', 'NSC 409962', 'injectable carmustine', 'DTI-015', 'Carmustin', 'BCNU', 'carmustine']",,NER_API,[],0
MTV-273,T cell stimulant; Immuno-oncology therapy,MTV-273,,MCM-998,mtv 273,fexact,"['MCM-998', 'anti-bcma car t-cell therapy (multiple myeloma)', 'CART-BCMA', 'anti-BCMA CAR T-cell therapy (multiple myeloma), University of Pennsylvania/', 'MTV-273']",MCM-998,fexact,"['mcm 998', 'anti bcma car t cell therapy multiple myeloma', 'cart bcma', 'anti bcma car t cell therapy multiple myeloma university of pennsylvania', 'mtv 273']",correct_mapping
rituximab,CD20 antagonist,rituximab,,rituximab biosimilar,rituximab,fexact,"['GP-2013', 'Riximyo', 'Rixathon', 'rituximab biosimilar', 'Rituximab BS', 'rituximab', 'rituximab biosimilar, Sandoz']",rituximab biosimilar,fexact,"['gp 2013', 'riximyo', 'rixathon', 'rituximab biosimilar', 'rituximab bs', 'rituximab', 'rituximab biosimilar sandoz']",correct_mapping
haploidentical hematopoietic stem cell transplantation,Not applicable,haploidentical hematopoietic stem cell transplantation,,,,0,['haploidentical hematopoietic stem cell transplantation'],,0,[],0
CD56-enriched donor lymphocyte infusion,Unidentified pharmacological activity,CD56-enriched donor lymphocyte infusion,,,,0,['CD56-enriched donor lymphocyte infusion'],,0,[],0
NKTR-255,Interleukin 15 agonist; Immuno-oncology therapy,NKTR-255,,NKTR-255,nktr 255,fexact,"['il-15 receptor agonist (cancer)', 'NKTR-255']",NKTR-255,fexact,"['il 15 receptor agonist cancer', 'nktr 255']",correct_mapping
HG-146,Histone deacetylase inhibitor; Immuno-oncology therapy,HG-146,,HG-146,hg 146,fexact,['HG-146'],HG-146,fexact,['hg 146'],correct_mapping
RV-NYESO TCR PBMC,Immuno-oncology therapy,RV-NYESO TCR PBMC,,,,0,['RV-NYESO TCR PBMC'],,0,[],0
orvacabtagene autoleucel,T cell stimulant; Immuno-oncology therapy,orvacabtagene autoleucel,,orvacabtagene autoleucel,orvacabtagene autoleucel,fexact,"['BCMA-125', 'ET-140', '125-BBz', 'JCARH-125', 'anti-BCMA CAR T-cell therapy (lentiviral vector, multiple myeloma), MSKCC//Juno Therapeutics', 'Orva-cel', 'orvacabtagene autoleucel', 'anti-BCMA CAR T-cell therapy (lentiviral vector, multiple myeloma), MSKCC/Eureka/Juno Therapeutics', 'JCAR-125', 'anti-BCMA CAR T-cell therapy (lentiviral vector, multiple myeloma), MSKCC//']",orvacabtagene autoleucel,fexact,"['bcma 125', 'et 140', '125 bbz', 'jcarh 125', 'anti bcma car t cell therapy lentiviral vector multiple myeloma mskcc juno therapeutics', 'orva cel', 'orvacabtagene autoleucel', 'anti bcma car t cell therapy lentiviral vector multiple myeloma mskcc eureka juno therapeutics', 'jcar 125', 'anti bcma car t cell therapy lentiviral vector multiple myeloma mskcc']",correct_mapping
"BCMA-CAR T cells, Shanghai Bioray Laboratory",T cell stimulant; Immuno-oncology therapy,BCMA-CAR T cells,Shanghai Bioray Laboratory,PRG-1801,bcma car t cells,fexact,"['anti-BCMA CAR T-cell therapy (multiple myeloma), Pregene (Shenzhen) Biotechnology/ Henan Province Hospital', 'anti-BCMA CAR T-cell therapy (multiple myeloma),/ Henan Province Hospital', 'BCMA CAR-T cells', 'PRG-1801']",PRG-1801,fexact,"['anti bcma car t cell therapy multiple myeloma pregene shenzhen biotechnology henan province hospital', 'anti bcma car t cell therapy multiple myeloma henan province hospital', 'bcma car t cells', 'prg 1801']",correct_mapping
MEDI-2228,DNA inhibitor; B-cell maturation antigen antagonist,MEDI-2228,,MEDI-2228,medi 2228,fexact,"['MEDI-2228', 'pyrrolobenzodiazepine-linked antibody drug conjugate (BCMA, multiple myeloma),/Dana-Farber Cancer Institute']",MEDI-2228,fexact,"['medi 2228', 'pyrrolobenzodiazepine linked antibody drug conjugate bcma multiple myeloma dana farber cancer institute']",correct_mapping
tacrolimus (capsule),Immunosuppressant; Calcineurin inhibitor; T cell inhibitor,tacrolimus,,tacrolimus,tacrolimus,fexact,"['FK-506 (oral)', 'Hecoria', 'tacrolimus (oral), Fujisawa', 'tacrolimus (oral)', 'Prograf granule', 'tacrolimus (injectable)', 'Adbagraf', 'FK-506 (oral), Fujisawa', 'Prograf', 'fujimycin', 'tsukubaenolide', 'Prograf injection', 'Prograf capsule', 'L-679934', 'Modigraf', 'tacrolimus', 'FR-900506', 'tacrolimus (injectable), Fujisawa', 'FK-506']",tacrolimus,fexact,"['fk 506 oral', 'hecoria', 'tacrolimus oral fujisawa', 'tacrolimus oral', 'prograf granule', 'tacrolimus injectable', 'adbagraf', 'fk 506 oral fujisawa', 'prograf', 'fujimycin', 'tsukubaenolide', 'prograf injection', 'prograf capsule', 'l 679934', 'modigraf', 'tacrolimus', 'fr 900506', 'tacrolimus injectable fujisawa', 'fk 506']",correct_mapping
tacrolimus (IV),Immunosuppressant; Calcineurin inhibitor; T cell inhibitor,tacrolimus,,tacrolimus,tacrolimus,fexact,"['FK-506 (oral)', 'Hecoria', 'tacrolimus (oral), Fujisawa', 'tacrolimus (oral)', 'Prograf granule', 'tacrolimus (injectable)', 'Adbagraf', 'FK-506 (oral), Fujisawa', 'Prograf', 'fujimycin', 'tsukubaenolide', 'Prograf injection', 'Prograf capsule', 'L-679934', 'Modigraf', 'tacrolimus', 'FR-900506', 'tacrolimus (injectable), Fujisawa', 'FK-506']",tacrolimus,fexact,"['fk 506 oral', 'hecoria', 'tacrolimus oral fujisawa', 'tacrolimus oral', 'prograf granule', 'tacrolimus injectable', 'adbagraf', 'fk 506 oral fujisawa', 'prograf', 'fujimycin', 'tsukubaenolide', 'prograf injection', 'prograf capsule', 'l 679934', 'modigraf', 'tacrolimus', 'fr 900506', 'tacrolimus injectable fujisawa', 'fk 506']",correct_mapping
"G-CSF, unspecified",Granulocyte colony stimulating factor agonist,G-CSF,unspecified,lenograstim,g csf,fexact,"['Granocyte', 'CSF', 'hG-CSF', 'hG-CSF, Chugai', 'rHuG-CSF', 'G-CSF, Rhone-Poulenc Rorer', 'Neutrogin', 'G-CSF', 'Myelostim', 'CSF, Chugai', 'lenograstim', 'rHuG-CSF, Chugai', 'G-CSF, Chugai']",lenograstim,fexact,"['granocyte', 'csf', 'hg csf', 'hg csf chugai', 'rhug csf', 'g csf rhone poulenc rorer', 'neutrogin', 'g csf', 'myelostim', 'csf chugai', 'lenograstim', 'rhug csf chugai', 'g csf chugai']",correct_mapping
murizatoclax,Mcl-1 antagonist,murizatoclax,,murizatoclax,murizatoclax,fexact,"['PPI inhibitor (hematological malignancies)', 'AMG-397', 'AM-2721', 'murizatoclax', ""protein-protein interaction inhibitor (multiple myeloma/non-Hodgkin's lymphoma/acute myeloid leukemia)""]",murizatoclax,fexact,"['ppi inhibitor hematological malignancies', 'amg 397', 'am 2721', 'murizatoclax', 'protein protein interaction inhibitor multiple myeloma non hodgkin s lymphoma acute myeloid leukemia']",correct_mapping
abatacept (IV),CD86 antagonist; T cell inhibitor; CD80 antagonist; Immune checkpoint inhibitor,abatacept,,abatacept,abatacept,fexact,"['abatacept', 'BMS-188667', 'Orencia', 'ONO-4164IV', 'ONO-4164', 'BMS-188667SC', 'ONO-4164SC', 'BMS-188667IV', 'CTLA4-Ig, BMS', 'BMS-1888667', 'Orenica']",abatacept,fexact,"['abatacept', 'bms 188667', 'orencia', 'ono 4164iv', 'ono 4164', 'bms 188667sc', 'ono 4164sc', 'bms 188667iv', 'ctla4 ig bms', 'bms 1888667', 'orenica']",correct_mapping
abatacept (SC),CD86 antagonist; T cell inhibitor; CD80 antagonist; Immune checkpoint inhibitor,abatacept,,abatacept,abatacept,fexact,"['abatacept', 'BMS-188667', 'Orencia', 'ONO-4164IV', 'ONO-4164', 'BMS-188667SC', 'ONO-4164SC', 'BMS-188667IV', 'CTLA4-Ig, BMS', 'BMS-1888667', 'Orenica']",abatacept,fexact,"['abatacept', 'bms 188667', 'orencia', 'ono 4164iv', 'ono 4164', 'bms 188667sc', 'ono 4164sc', 'bms 188667iv', 'ctla4 ig bms', 'bms 1888667', 'orenica']",correct_mapping
"ECT-001-expanded cord blood cells, ExCellThera",Not applicable,ECT-001-expanded cord blood cells,ExCellThera,,,0,['ECT-001-expanded cord blood cells'],,0,[],0
lisocabtagene maraleucel,T cell stimulant; Immuno-oncology therapy,lisocabtagene maraleucel,,lisocabtagene maraleucel,lisocabtagene maraleucel,fexact,"['anti-CD19 CAR T-cell therapy (leukemia), Juno Therapeutics', 'anti-CD19 CAR T-cell therapy (leukemia)', 'SCRI-CAR19v1', 'liso-cel', 'Breyanzi', 'anti-cd19 car t-cell therapy (iv/infusion, b-cell malignancies)', 'JCAR-017', 'anti-CD19 CAR T-cell therapy (iv/infusion, B-cell malignancies), Celgene Corp', 'lisocabtagene maraleucel']",lisocabtagene maraleucel,fexact,"['anti cd19 car t cell therapy leukemia juno therapeutics', 'anti cd19 car t cell therapy leukemia', 'scri car19v1', 'liso cel', 'breyanzi', 'anti cd19 car t cell therapy iv infusion b cell malignancies', 'jcar 017', 'anti cd19 car t cell therapy iv infusion b cell malignancies celgene corp', 'lisocabtagene maraleucel']",correct_mapping
"cyclophosphamide, Baxter",DNA inhibitor,cyclophosphamide,Baxter,cyclophosphamide monohydrate,cyclophosphamide,fexact,"['Endoxan', 'cyclophosphamide monohydrate', 'cyclophosphamide']",cyclophosphamide monohydrate,fexact,"['endoxan', 'cyclophosphamide monohydrate', 'cyclophosphamide']",correct_mapping
"melphalan, Cydex",DNA inhibitor,melphalan,Cydex,,,0,"['melphalan (percutaneous hepatic perfusion, liver cancer),/NCI', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma),/NCI', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma/cholangiocarcinoma),/', 'melphalan (percutaneous hepatic perfusion, liver cancer),/', 'melphalan (hepatic delivery system)', 'melphalan (Chemosat, liver cancer),/', 'melphalan (percutaneous hepatic perfusion, hepatocellular carcinoma/cholangiocarcinoma/metastatic ocular melanoma),/', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma),/', 'HEPZATO', 'CHEMOSAT', 'melphalan (Chemosat, liver cancer),/NCI', 'melphalan (percutaneous hepatic perfusion, liver cancer/hepatocellular carcinoma/cholangiocarcinoma),/NCI', 'melphalan (percutaneous hepatic perfusion, hepatocellular carcinoma/cholangiocarcinoma/metastatic ocular melanoma),/NCI', 'melphalan', 'Melblez']",,NER_API,[],0
